Na,Cl,Water,Fe,Cu
0,0,0,0,0
4163.420744,1895.552906,1417.133157,14282.84958,15297.93913
226.4362837,72.10956428,62.70733984,632.9688712,635.3531851
224.3522235,62.97746484,60.86948906,535.2072566,532.8088165
270.8948493,75.45669841,82.481914,582.084616,578.1374637
425.5479006,150.7830021,126.160776,1073.278877,1016.058903
641.60197,258.98974,167.876536,1801.269577,1669.56934
654.4796741,188.8205429,172.7617102,1150.842857,1098.148457
632.9147163,143.824708,165.7964721,721.8645198,722.3832722
622.8305987,147.7992018,161.1204922,736.9234844,743.9319397
592.2739049,151.3679415,154.5293094,787.2083436,799.7544871
550.9346302,151.1535166,140.0425016,829.3548522,850.8113546
512.501247,148.3412556,125.3778943,855.2385169,890.5928698
473.9582449,142.261378,114.3366391,853.5043499,904.5296055
430.762377,133.714107,105.0756549,824.2014771,887.5238097
383.5023979,122.7378711,96.23523229,757.8350538,828.9566997
337.2670841,109.8027846,87.21589573,661.4492286,738.2514166
302.4747902,99.39262771,79.26477032,581.183708,663.8915313
280.4149809,93.81850588,73.49906036,544.2970186,630.9947532
263.3832856,92.46047534,69.52708749,547.009935,631.5432861
247.6862758,93.90101142,66.35359228,573.7144924,649.3148961
230.7178635,92.04900477,62.78195796,580.7840536,647.8465474
210.0264622,82.18968073,58.43960853,533.5813731,600.1046393
188.571632,69.24886008,54.24342674,459.6295346,530.9171043
170.6353066,59.75448285,50.8764144,401.8402197,476.8315447
156.4855699,54.156214,47.99440535,366.80712,442.9967439
144.7631516,50.36527513,45.15536482,342.4198354,418.2020136
134.5567375,47.02171463,42.25710593,320.4880869,394.5101078
125.4017592,43.6425368,39.35186858,298.6797706,369.7755815
117.0352944,40.27550477,36.55775982,278.1496205,345.8485356
109.3769356,37.15149132,34.0480804,260.4450371,325.0868707
102.4101248,34.36499466,31.89506799,245.6113878,307.8090162
96.19718052,31.8967539,30.04551389,232.9641657,292.9257216
90.81008682,29.76281595,28.44573754,221.9903106,279.3332396
86.10573689,28.01402207,27.06639236,212.3465961,266.3839885
81.87594123,26.68834347,25.85951998,203.7916486,253.8825613
78.06031504,25.74762508,24.73636542,196.1586723,241.9057712
74.83438768,25.1208002,23.67093952,189.4436381,230.7969577
72.44837539,24.78312581,22.75158607,183.8796401,221.0455493
71.16292705,24.84236184,22.10841441,180.251153,213.4354948
71.24084827,25.51451254,21.78067672,179.8945408,209.1357903
72.97300046,26.89942475,21.69249122,183.5066792,208.7467749
76.63095917,28.7301218,21.71788873,189.5760956,211.0354655
82.346922,30.5015453,21.78883692,194.5843133,213.0593562
